year,imports_AL,imports_BG,imports_IT,imports_NM,imports_TR,imports_CY
2015,1,1,1,1,1,0
2016,1,1,1,1,1,0
2017,1,1,1,1,1,0
2018,1,1,1,1,1,0
2019,1,1,1,1,1,0
2020,1,1,1,1.888888889,1,0
2021,1,1,1,1.888888889,1,0
2022,1,1.928571429,1,1.888888889,1,0
2023,1,1.928571429,1,1.888888889,1,0
2024,1,1.928571429,1,1.888888889,1,0
2025,1,1.928571429,1,1.888888889,3.493975904,0
2026,1,1.928571429,1,1.888888889,3.493975904,0
2027,1,1.928571429,1,1.888888889,3.493975904,0
2028,1,1.928571429,1,1.888888889,3.493975904,0
2029,1,1.928571429,1,1.888888889,3.493975904,0
2030,1,1.928571429,1,1.888888889,3.493975904,0
2031,1,1.928571429,1,1.888888889,3.493975904,0
2032,1,1.928571429,1,1.888888889,3.493975904,0
2033,1,1.928571429,1,1.888888889,3.493975904,0
2034,1,1.928571429,1,1.888888889,3.493975904,0
2035,1,1.928571429,1,1.888888889,3.493975904,0
2036,1,1.928571429,1,1.888888889,3.493975904,0
2037,1,1.928571429,1,1.888888889,3.493975904,0
2038,1,1.928571429,1,1.888888889,3.493975904,0
2039,1,1.928571429,1,1.888888889,3.493975904,0
2040,1,1.928571429,1,1.888888889,3.493975904,0
2041,1,1.928571429,1,1.888888889,3.493975904,0
2042,1,1.928571429,1,1.888888889,3.493975904,0
2043,1,1.928571429,1,1.888888889,3.493975904,0
2044,1,1.928571429,1,1.888888889,3.493975904,0
2045,1,1.928571429,1,1.888888889,3.493975904,0
2046,1,1.928571429,1,1.888888889,3.493975904,0
2047,1,1.928571429,1,1.888888889,3.493975904,0
2048,1,1.928571429,1,1.888888889,3.493975904,0
2049,1,1.928571429,1,1.888888889,3.493975904,0
2050,1,1.928571429,1,1.888888889,3.493975904,0
