variable,value,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
generation_companies_tax_cutoff_low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_companies_tax_cutoff_high,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_companies_tax_rate_low,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generation_companies_tax_rate_high,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imports_tax_rate,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thermal_res_subsidy_start,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thermal_res_subsidy_price_mwh,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thermal_res_base_price_mwh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thermal_res_subsidy_duration,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass_cofiring_res_subsidy_start,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass_cofiring_res_subsidy_price_mwh,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass_cofiring_res_base_price_mwh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass_cofiring_res_subsidy_duration,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass_cofiring_res_max_yearly_generation,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass_cofiring_res_max_yearly_generation_after_subsidy_expiry,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biomass_cofiring_res_max_yearly_generation_subsidies,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar_res_subsidy_start,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar_res_subsidy_price_mwh,smp,-1.3,-1.3,-1.3,-1.3,-1.3,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
solar_res_base_price_mwh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar_res_subsidy_duration,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar_res_initial_installed_capacity_mw,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar_res_initial_installation_cost_mw,3463000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar_res_installation_cost_learning_rate,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_onshore_res_subsidy_start,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_onshore_res_subsidy_price_mwh,smp,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
wind_onshore_res_base_price_mwh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_onshore_res_subsidy_duration,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_onshore_res_initial_installed_capacity_mw,3.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_onshore_res_initial_installation_cost_mw,2346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_onshore_res_installation_cost_learning_rate,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_offshore_res_subsidy_start,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_offshore_res_subsidy_price_mwh,smp,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
wind_offshore_res_base_price_mwh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_offshore_res_subsidy_duration,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_onshore_res_initial_installed_capacity_mw,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_offshore_res_initial_installation_cost_mw,4800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_offshore_res_installation_cost_learning_rate,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all_subsidies_expiry,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electricity_tax_rate,0.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assumed_energy_res_supply_chain_profitability_percent_of_final_value,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidized_generation_types,biomass_cofiring,biomass,waste,solar,wind_onshore,wind_offshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidized_generation_type_plants,biomass_cofiring,biomass,waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thermal,waste,biomass,chp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
