year,solar_rooftop_price,solar_parks_price,wind_onshore_price,wind_offshore_price
2015,smp,-1.3,90,90
2016,smp,-1.3,90,90
2017,smp,-1.3,90,90
2018,smp,-1.3,90,90
2019,smp,-1.3,90,90
2020,smp,-1.2,90,90
2021,smp,-1.2,90,90
2022,smp,-1.2,90,90
2023,smp,-1.2,90,90
2024,smp,-1.2,90,90
2025,smp,-1.2,90,90
2026,smp,-1.2,90,90
2027,smp,-1.2,90,90
2028,smp,-1.2,90,90
2029,smp,-1.2,90,90
2030,smp,-1.1,90,90
2031,smp,-1.1,90,90
2032,smp,-1.1,90,90
2033,smp,-1.1,90,90
2034,smp,-1.1,90,90
2035,smp,-1.1,90,90
2036,smp,-1.1,90,90
2037,smp,-1.1,90,90
2038,smp,-1.1,90,90
2039,smp,-1.1,90,90
2040,smp,-1.1,90,90
2041,smp,-1.1,90,90
2042,smp,-1.1,90,90
2043,smp,-1.1,90,90
2044,smp,-1.1,90,90
2045,smp,-1.1,90,90
2046,smp,-1.1,90,90
2047,smp,-1.1,90,90
2048,smp,-1.1,90,90
2049,smp,-1.1,90,90
2050,smp,-1.1,90,90
