year,growth
2016,1
2017,1
2018,1
2019,1
2020,1.067595248
2021,1.251536256
2022,1.736583367
2023,2.021302745
2024,2.235559197
2025,2.410897173
2026,2.564932405
2027,2.708725932
2028,2.851700123
2029,2.943056125
2030,3.007783695
2031,3.046292503
2032,3.063088898
2033,3.080294961
2034,3.097091356
2035,3.113887751
2036,3.110249464
2037,3.113149133
2038,3.119557818
2039,3.132579874
2040,3.155319653
2041,3.190881514
2042,3.24236981
2043,3.312888893
2044,3.40554312
2045,3.523436844
2046,3.669674421
2047,3.847360205
2048,4.059598551
2049,4.309493814
2050,4.600338869
