year,solar_rooftop,solar_parks
2015,0.145,0.855
2016,0.145,0.855
2017,0.145,0.855
2018,0.145,0.855
2019,0.145,0.855
2020,0.145,0.855
2021,0.145,0.855
2022,0.145,0.855
2023,0.145,0.855
2024,0.145,0.855
2025,0.145,0.855
2026,0.145,0.855
2027,0.145,0.855
2028,0.145,0.855
2029,0.145,0.855
2030,0.145,0.855
2031,0.145,0.855
2032,0.145,0.855
2033,0.145,0.855
2034,0.145,0.855
2035,0.145,0.855
2036,0.145,0.855
2037,0.145,0.855
2038,0.145,0.855
2039,0.145,0.855
2040,0.145,0.855
2041,0.145,0.855
2042,0.145,0.855
2043,0.145,0.855
2044,0.145,0.855
2045,0.145,0.855
2046,0.145,0.855
2047,0.145,0.855
2048,0.145,0.855
2049,0.145,0.855
2050,0.145,0.855
2051,0.145,0.855
2052,0.145,0.855
2053,0.145,0.855
2054,0.145,0.855
2055,0.145,0.855
2056,0.145,0.855
2057,0.145,0.855
2058,0.145,0.855
2059,0.145,0.855
2060,0.145,0.855
2061,0.145,0.855
2062,0.145,0.855
2063,0.145,0.855
2064,0.145,0.855
2065,0.145,0.855
2066,0.145,0.855
2067,0.145,0.855
2068,0.145,0.855
2069,0.145,0.855
2070,0.145,0.855
2071,0.145,0.855
2072,0.145,0.855
2073,0.145,0.855
2074,0.145,0.855
2075,0.145,0.855
